GeoCode,OperationName
33261-966,GBOV20
55111-527,KEID36
55154-8273,EHSQ77
0268-6622,RSXF77
51393-7336,WWLM97
50436-3953,PHKZ64
49288-0220,QFEJ58
16714-393,CYLY87
49999-963,YHEX32
0049-0178,LASA55
0186-0032,UGHZ80
51239-0912,LFKL00
20276-053,SDGX57
49035-098,SDVT71
43526-001,DKKW29
52584-881,NAOJ33
54092-520,VWTA79
68012-102,EUXK56
36987-1159,BLUC96
62175-446,ZEAI89
11822-0571,TSTD93
68258-7154,CHJV34
0378-8630,JUDJ96
60505-0159,KZFI55
52125-673,HUYF42
0006-0081,WVZK16
49349-927,MJJJ37
0186-1090,SLGA16
66472-038,GDOO43
0781-1489,NXXZ83
15127-804,ZWEP03
68180-644,JUWJ93
42549-535,BEFN17
41163-074,NWAQ90
43846-0016,WRAB27
43063-507,NMDU40
54868-6028,AUAH42
55038-023,PGCA26
51009-203,SHGK56
10096-0230,XNLA98
56152-2050,SXID00
68405-037,WPLI78
11822-0402,WPNT32
41250-870,BEEE50
21695-229,CXUH17
13537-281,SAPN79
63739-802,LPHF57
36987-1717,JOHW94
15751-2235,OAWA97
13734-112,YPGF95
58228-0103,AYSR02
35356-727,UIMZ87
14783-331,RQHF66
0904-6374,GJUG83
68788-9406,SFNB87
11584-1046,GQEJ52
55319-871,PAAY64
53057-016,OFLN83
49348-777,BODR48
65862-311,GISG50
64117-245,LXJR42
47682-311,FOSS15
53329-650,KQBY37
68016-213,AJAA08
51138-054,TDQE74
55315-343,DXDX84
42291-654,NTDN56
55154-1412,ZPBO95
62670-4766,CUSZ43
33261-994,GREW57
30698-201,YNVS44
61589-5312,YJRG23
0615-7582,WGEV19
53991-001,EFGI79
66761-333,LGOD11
59779-468,ADNH56
43857-0139,WYHU13
0781-5281,VHEA03
11822-7310,HNCK40
14783-256,GDVC70
58232-4002,YWDK67
55154-3185,WQON82
42507-499,YNCF39
48951-7044,MBHZ68
11822-0157,BTVG29
51346-122,ZAKM39
10542-011,NMZT19
55154-6213,KQIC12
0404-0001,NHII94
49781-047,TIYA92
48951-9037,APQH13
53746-514,VYTM00
52125-445,TTTA99
41167-6020,QIGG78
0338-1145,BUDB34
57955-2760,ICAS20
69097-154,NNKY00
53144-1001,ZVZA46
0268-6656,DYOT56
53144-2001,GKJR52
60683-083,GXCJ44
0703-3015,XGQQ45
18482-128,KLOF50
21695-036,JIKQ68
62750-059,VAFM54
57955-1830,YGKS35
76458-201,DEDB54
57520-0210,MYJA04
11822-3420,FURK93
36800-213,TKQI09
64117-873,VCLZ28
63941-136,RWEZ01
66908-700,FZPX25
62011-0163,LXZM45
64696-1968,HQUP86
43269-896,ASUO97
49358-542,YBMI12
62750-033,MSRU72
0268-6506,OYEK32
51523-116,KXKJ56
0409-4277,EEAN85
21695-286,ZBXP07
76457-002,FQXL65
0143-1262,NLSE07
51079-943,BNKP83
51393-4010,XRVU25
0781-6136,BVXH89
61722-200,IAQL76
49288-0914,TOIQ61
24330-412,XJJH63
24673-247,EJMJ85
0378-4492,GJNX00
67046-027,VLNU55
52544-383,OSNJ24
53329-809,HJMQ95
43617-3416,MAWJ84
54868-6291,DGSH49
0115-6922,XTKO33
21695-282,JNAX35
49349-733,QIBT87
35356-736,CIRC77
60512-9084,QZUK25
13537-457,PSEJ76
68196-375,WVVG23
55714-2294,ERQY26
21130-024,AFPW69
36987-3102,MIOS67
57955-2708,UXTH08
24987-354,QHNG87
60681-1301,KIMP95
55289-307,JJDC64
0049-2140,AQQU69
0781-5710,GPNE93
10424-148,NSVX85
64117-291,MUQO94
61601-1177,JNMU91
58605-422,WOWG93
68788-0190,BKXB63
52904-493,MPPR16
42858-901,LSAN27
49643-443,UDKS75
41250-507,TPYB12
47593-477,OSEW50
67877-224,EFSY88
0338-6011,NDCY30
0615-1358,RCXQ57
41520-869,WFLA55
13537-459,ZJOY01
54111-113,RWOJ37
58406-425,ORLI17
36987-3015,IIXJ26
10812-935,AFYI97
43269-613,SJEQ95
50438-105,JCSB57
65224-800,JTQT49
0781-1438,MEEP01
41163-215,EYHH27
0069-4541,ALLU65
51143-069,IIWB31
59883-922,NAGA82
55289-125,ENKC62
52427-287,XJMG98
60681-0122,NGXM09
53877-001,OANW60
36987-2572,DXXE63
62011-0186,IRAE51
55714-2204,CNEF75
36800-008,VYJE97
0781-3074,QRQH74
16555-996,JRLU95
57955-2760,HKCK79
0591-2880,TUXS08
60512-6154,PDEW97
55111-134,SAAD12
52755-300,FZPK14
41520-927,DAOQ72
55316-517,JJNH29
0519-6395,RTET08
0904-5798,VMAV50
68788-9419,VNYX06
64616-111,LQTL79
67046-532,FILR81
64942-1350,WGDP81
0113-0456,MIJI15
49288-0607,BWBQ17
15127-821,AOWZ11
36987-3378,XFBK43
58657-420,VWTY37
24385-390,GFMH25
67038-101,ELSZ55
36987-1105,UJYZ51
63868-218,QQKL46
41250-204,KODQ01
17156-023,KDIE76
55346-1401,OUMQ32
54868-6085,VLDQ49
0615-7644,MQBY54
0078-0454,JSTA50
36987-2120,KMNK91
63629-1823,BHGG88
52125-935,NFTZ47
10337-359,FZVZ95
