Year,State,Frequency
1970-01-01 00:00:00.000002010,AK,14099.0
1970-01-01 00:00:00.000002010,AL,206722.0
1970-01-01 00:00:00.000002010,AR,129595.0
1970-01-01 00:00:00.000002010,AZ,182681.0
1970-01-01 00:00:00.000002010,CA,1077415.0
1970-01-01 00:00:00.000002010,CO,122231.0
1970-01-01 00:00:00.000002010,CT,116456.0
1970-01-01 00:00:00.000002010,DC,20900.0
1970-01-01 00:00:00.000002010,DE,32235.0
1970-01-01 00:00:00.000002010,FL,704189.0
1970-01-01 00:00:00.000002010,GA,286577.0
1970-01-01 00:00:00.000002010,HI,37955.0
1970-01-01 00:00:00.000002010,IA,121578.0
1970-01-01 00:00:00.000002010,ID,46924.0
1970-01-01 00:00:00.000002010,IL,424992.0
1970-01-01 00:00:00.000002010,IN,244427.0
1970-01-01 00:00:00.000002010,KS,100871.0
1970-01-01 00:00:00.000002010,KY,183417.0
1970-01-01 00:00:00.000002010,LA,168308.0
1970-01-01 00:00:00.000002010,MA,205121.0
1970-01-01 00:00:00.000002010,MD,186138.0
1970-01-01 00:00:00.000002010,ME,49833.0
1970-01-01 00:00:00.000002010,MI,403841.0
1970-01-01 00:00:00.000002010,MN,149051.0
1970-01-01 00:00:00.000002010,MO,244095.0
1970-01-01 00:00:00.000002010,MS,133574.0
1970-01-01 00:00:00.000002010,MT,34928.0
1970-01-01 00:00:00.000002010,NC,332804.0
1970-01-01 00:00:00.000002010,ND,27275.0
1970-01-01 00:00:00.000002010,NE,65115.0
1970-01-01 00:00:00.000002010,NH,42545.0
1970-01-01 00:00:00.000002010,NJ,302792.0
1970-01-01 00:00:00.000002010,NM,63991.0
1970-01-01 00:00:00.000002010,NV,76220.0
1970-01-01 00:00:00.000002010,NY,678875.0
1970-01-01 00:00:00.000002010,OH,488618.0
1970-01-01 00:00:00.000002010,OK,174297.0
1970-01-01 00:00:00.000002010,OR,131062.0
1970-01-01 00:00:00.000002010,PA,531847.0
1970-01-01 00:00:00.000002010,RI,41320.0
1970-01-01 00:00:00.000002010,SC,176655.0
1970-01-01 00:00:00.000002010,SD,31300.0
1970-01-01 00:00:00.000002010,TN,269596.0
1970-01-01 00:00:00.000002010,TX,721423.0
1970-01-01 00:00:00.000002010,US,3538181.0
1970-01-01 00:00:00.000002010,UT,52356.0
1970-01-01 00:00:00.000002010,VA,238971.0
1970-01-01 00:00:00.000002010,VT,23078.0
1970-01-01 00:00:00.000002010,WA,208610.0
1970-01-01 00:00:00.000002010,WI,197274.0
1970-01-01 00:00:00.000002010,WV,96960.0
1970-01-01 00:00:00.000002010,WY,18005.0
1970-01-01 00:00:00.000002011,AK,15343.0
1970-01-01 00:00:00.000002011,AL,207382.0
1970-01-01 00:00:00.000002011,AR,132279.0
1970-01-01 00:00:00.000002011,AZ,196753.0
1970-01-01 00:00:00.000002011,CA,1111052.0
1970-01-01 00:00:00.000002011,CO,126516.0
1970-01-01 00:00:00.000002011,CT,118127.0
1970-01-01 00:00:00.000002011,DC,20340.0
1970-01-01 00:00:00.000002011,DE,32941.0
1970-01-01 00:00:00.000002011,FL,699275.0
1970-01-01 00:00:00.000002011,GA,287114.0
1970-01-01 00:00:00.000002011,HI,39540.0
1970-01-01 00:00:00.000002011,IA,122680.0
1970-01-01 00:00:00.000002011,ID,49464.0
1970-01-01 00:00:00.000002011,IL,429508.0
1970-01-01 00:00:00.000002011,IN,260490.0
1970-01-01 00:00:00.000002011,KS,101038.0
1970-01-01 00:00:00.000002011,KY,190188.0
1970-01-01 00:00:00.000002011,LA,165212.0
1970-01-01 00:00:00.000002011,MA,204711.0
1970-01-01 00:00:00.000002011,MD,184881.0
1970-01-01 00:00:00.000002011,ME,49891.0
1970-01-01 00:00:00.000002011,MI,410947.0
1970-01-01 00:00:00.000002011,MN,156841.0
1970-01-01 00:00:00.000002011,MO,244654.0
1970-01-01 00:00:00.000002011,MS,134586.0
1970-01-01 00:00:00.000002011,MT,36393.0
1970-01-01 00:00:00.000002011,NC,337414.0
1970-01-01 00:00:00.000002011,ND,26517.0
1970-01-01 00:00:00.000002011,NE,65580.0
1970-01-01 00:00:00.000002011,NH,44334.0
1970-01-01 00:00:00.000002011,NJ,304257.0
1970-01-01 00:00:00.000002011,NM,65084.0
1970-01-01 00:00:00.000002011,NV,80537.0
1970-01-01 00:00:00.000002011,NY,683732.0
1970-01-01 00:00:00.000002011,OH,498152.0
1970-01-01 00:00:00.000002011,OK,175009.0
1970-01-01 00:00:00.000002011,OR,136770.0
1970-01-01 00:00:00.000002011,PA,546169.0
1970-01-01 00:00:00.000002011,RI,41699.0
1970-01-01 00:00:00.000002011,SC,176531.0
1970-01-01 00:00:00.000002011,SD,32588.0
1970-01-01 00:00:00.000002011,TN,269796.0
1970-01-01 00:00:00.000002011,TX,733592.0
1970-01-01 00:00:00.000002011,US,3598991.0
1970-01-01 00:00:00.000002011,UT,55448.0
1970-01-01 00:00:00.000002011,VA,241673.0
1970-01-01 00:00:00.000002011,VT,23822.0
1970-01-01 00:00:00.000002011,WA,216371.0
1970-01-01 00:00:00.000002011,WI,202336.0
1970-01-01 00:00:00.000002011,WV,99049.0
1970-01-01 00:00:00.000002011,WY,17982.0
1970-01-01 00:00:00.000002012,AK,15349.0
1970-01-01 00:00:00.000002012,AL,207603.0
1970-01-01 00:00:00.000002012,AR,133243.0
1970-01-01 00:00:00.000002012,AZ,198552.0
1970-01-01 00:00:00.000002012,CA,1108693.0
1970-01-01 00:00:00.000002012,CO,128435.0
1970-01-01 00:00:00.000002012,CT,117170.0
1970-01-01 00:00:00.000002012,DC,20750.0
1970-01-01 00:00:00.000002012,DE,32091.0
1970-01-01 00:00:00.000002012,FL,716702.0
1970-01-01 00:00:00.000002012,GA,290818.0
1970-01-01 00:00:00.000002012,HI,40243.0
1970-01-01 00:00:00.000002012,IA,126101.0
1970-01-01 00:00:00.000002012,ID,47987.0
1970-01-01 00:00:00.000002012,IL,425614.0
1970-01-01 00:00:00.000002012,IN,264098.0
1970-01-01 00:00:00.000002012,KS,101934.0
1970-01-01 00:00:00.000002012,KY,194019.0
1970-01-01 00:00:00.000002012,LA,171865.0
1970-01-01 00:00:00.000002012,MA,200010.0
1970-01-01 00:00:00.000002012,MD,185849.0
1970-01-01 00:00:00.000002012,ME,50305.0
1970-01-01 00:00:00.000002012,MI,409403.0
1970-01-01 00:00:00.000002012,MN,159050.0
1970-01-01 00:00:00.000002012,MO,243993.0
1970-01-01 00:00:00.000002012,MS,133987.0
1970-01-01 00:00:00.000002012,MT,35436.0
1970-01-01 00:00:00.000002012,NC,345889.0
1970-01-01 00:00:00.000002012,ND,26840.0
1970-01-01 00:00:00.000002012,NE,65388.0
1970-01-01 00:00:00.000002012,NH,43835.0
1970-01-01 00:00:00.000002012,NJ,302588.0
1970-01-01 00:00:00.000002012,NM,65299.0
1970-01-01 00:00:00.000002012,NV,83410.0
1970-01-01 00:00:00.000002012,NY,674167.0
1970-01-01 00:00:00.000002012,OH,496154.0
1970-01-01 00:00:00.000002012,OK,176824.0
1970-01-01 00:00:00.000002012,OR,133827.0
1970-01-01 00:00:00.000002012,PA,531537.0
1970-01-01 00:00:00.000002012,RI,41667.0
1970-01-01 00:00:00.000002012,SC,179459.0
1970-01-01 00:00:00.000002012,SD,32344.0
1970-01-01 00:00:00.000002012,TN,273530.0
1970-01-01 00:00:00.000002012,TX,757461.0
1970-01-01 00:00:00.000002012,US,3614137.0
1970-01-01 00:00:00.000002012,UT,55430.0
1970-01-01 00:00:00.000002012,VA,243291.0
1970-01-01 00:00:00.000002012,VT,24032.0
1970-01-01 00:00:00.000002012,WA,213662.0
1970-01-01 00:00:00.000002012,WI,201191.0
1970-01-01 00:00:00.000002012,WV,98635.0
1970-01-01 00:00:00.000002012,WY,18841.0
1970-01-01 00:00:00.000002013,AK,15131.0
1970-01-01 00:00:00.000002013,AL,209960.0
1970-01-01 00:00:00.000002013,AR,130883.0
1970-01-01 00:00:00.000002013,AZ,197568.0
1970-01-01 00:00:00.000002013,CA,1095058.0
1970-01-01 00:00:00.000002013,CO,130088.0
1970-01-01 00:00:00.000002013,CT,114809.0
1970-01-01 00:00:00.000002013,DC,20141.0
1970-01-01 00:00:00.000002013,DE,32977.0
